ID-dok;ID-præst;dato;helligdag;sogn str.;stift;årgang;køn;uddannelsessted
pr101_1;1;120408;PåsD_L;2467/2795;Viborg;1976;1;Aarhus
pr102_1;1;140420;PåsD_L;2467/2795;Viborg;1976;1;Aarhus
pr103_1;1;130203;Seks_U;2467/2795;Viborg;1976;1;Aarhus
pr104_1;1;130127;Sept_U;2467/2795;Viborg;1976;1;Aarhus
pr105_1;1;130127;Sept_U;2467/2795;Viborg;1976;1;Aarhus
pr106_1;1;141123;Sidst_L;2467/2795;Viborg;1976;1;Aarhus
pr107_1;1;140216;Sep_L;2467/2795;Viborg;1976;1;Aarhus
pr108_1;1;121216;3Adv_L;2467/2795;Viborg;1976;1;Aarhus
pr109_1;1;140615;Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr110_1;1;120603;Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr111_1;1;160110;1Hel_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr112_1;1;150111;1Hel_U;2467/2795;Viborg;1976;1;Aarhus
pr113_1;1;160214;1Fas_L; 4270 / 4891;aarhus;1976;1;Aarhus
pr114_1;1;150118;2Hel_U;2467/2795;Viborg;1976;1;Aarhus
pr115_1;1;160410;2Pås_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr116_1;1;150419;2Pås_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr117_1;1;160605;2Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr118_1;1;150614;2Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr119_1;1;151206;2Adv_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr120_1;1;141207;2Adv_U;2467/2795;Viborg;1976;1;Aarhus
pr121_1;1;150301;2Fas_U;2467/2795;Viborg;1976;1;Aarhus
pr122_1;1;150426;3Pås_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr123_1;1;141214;3Adv_U;2467/2795;Viborg;1976;1;Aarhus
pr124_1;1;160228;3Fas_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr125_1;1;150503;4Pås_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr126_1;1;160619;4Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr127_1;1;150628;4Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr128_1;1;151220;4Adv_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr129_1;1;160501;5Pås_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr130_1;1;150510;5Pås_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr131_1;1;160626;5Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr132_1;1;150705;5Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr133_1;1;160508;6Pås_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr134_1;1;150517;6Pås_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr135_1;1;160717;8Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr136_1;1;150802;9Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr137_1;1;150809;10Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr138_1;1;160821;13Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr139_1;1;150830;13Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr140_1;1;150906;14Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr141_1;1;160904;15Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr142_1;1;150913;15Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr143_1;1;150920;16Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr144_1;1;160918;17Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr145_1;1;150927;17Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr146_1;1;151004;18Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr147_1;1;161002;19Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr148_1;1;161009;20Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr149_1;1;161016;21Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr150_1;1;151025;21Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr151_1;1;161030;23Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr152_1;1;151108;23Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr153_1;1;161113;25Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr154_1;1;161106;AHelg_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr155_1;1;150215;Fas_U;2467/2795;Viborg;1976;1;Aarhus
pr156_1;1;150104;Hel_U;2467/2795;Viborg;1976;1;Aarhus
pr157_1;1;161026;\SÆR; 4270 / 4891;Aarhus;1976;1;Aarhus
pr158_1;1;141224;Jul_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr159_1;1;141225;JulD_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr160_1;1;151224;Jul_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr161_1;1;160505;KHim_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr162_1;1;150403;Lang_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr163_1;1;150322;MBeb_U;2467/2795;Viborg;1976;1;Aarhus
pr164_1;1;160306;MidF_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr165_1;1;150315;MidF_U;2467/2795;Viborg;1976;1;Aarhus
pr166_1;1;150101;Ny_U;2467/2795;Viborg;1976;1;Aarhus
pr167_1;1;160313;Pal_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr168_1;1;150329;Pal_U;2467/2795;Viborg;1976;1;Aarhus
pr169_1;1;160327;Pås_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr170_1;1;150405;Pås_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr171_1;1;160117;SHel_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr172_1;1;151123;Sidst_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr173_1;1;160324;Skær_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr174_1;1;150402;Skær_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr175_1;1;160609;\SÆR; 4270 / 4891;Aarhus;1976;1;Aarhus
pr176_1;1;160131;Seks_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr177_1;1;150208;Seks_U;2467/2795;Viborg;1976;1;Aarhus
pr178_1;1;150201;Sept_U;2467/2795;Viborg;1976;1;Aarhus
pr179_1;1;150531;Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr180_1;1;160522;Trin_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr181_2;2;110109;1Hel_U;948/1266;København;1982;1;Aarhus
pr182_2;2;150111;1Hel_U;948/1266;København;1982;1;Aarhus
pr183_2;2;130113;1Hel_U;948/1266;København;1982;1;Aarhus
pr184_2;2;120108;1Hel_L;948/1266;København;1982;1;Aarhus
pr185_2;2;160110;1Hel_L;948/1266;København;1982;1;Aarhus
pr186_2;2;140112;1Hel_L;948/1266;København;1982;1;Aarhus
pr187_2;2;130407;1Pås_U;948/1266;København;1982;1;Aarhus
